file_name	summary
chunk_0.txt	Camillo und Archidamus diskutieren über die langjährige Freundschaft zwischen Leontes und Polixenes, ihren jeweiligen Königen. Polixenes hat sich am Hofe von Leontes aufgehalten. 
chunk_1.txt	Polixenes wird von Leontes ‘Frau Hermine (die auf Leontes‘ Vorschlag hin handelt) überredet, länger bei ihm zu bleiben.
chunk_2.txt	 Hermine hat Erfolg, aber Leontes wird dann eifersüchtig auf die Zuneigung, die Hermine, seine schwangere Frau, Polixenes entgegenbringt.
chunk_3.txt	Leontes überzeugt sich selbst, dass sie eine Affäre haben.
chunk_4.txt	Leontes 'Eifersucht wächst so sehr, dass er Camillo bittet, Polixenes zu vergiften.
chunk_5.txt	Leontes äußert seine Eifersucht und sein Misstrauen und glaubt, dass seine Frau ihm untreu ist. Camillo stimmt zu und verspricht, Bohemia dabei zu helfen, Hermines Unschuld zu bestätigen. Leontes stimmt zu, plant aber dennoch, Maßnahmen zum Schutz seiner Ehre zu ergreifen.
chunk_6.txt	Camillo, der Polixenes 'Unschuld kennt, informiert ihn über Leontes' Absichten.
chunk_7.txt	Polixenes flieht aus Sizilien nach Böhmen und nimmt Camillo mit.
chunk_8.txt	Leontes beschuldigt die schwangere Hermine öffentlich.
chunk_9.txt	Hermine antwortet auf die gegen sie erhobenen Anschuldigungen. Hermine bestreitet diese Anschuldigungen und beteuert ihre Unschuld. Leontes bleibt jedoch von ihrer Schuld überzeugt, bezichtigt sie als Betrügerin und Verräterin und befiehlt, sie ins Gefängnis zu bringen. 
chunk_10.txt	Lenotes schickt Cleomenes und Dion zum Orakel, um sich seine Vorgehensweise bestätigen zu lassen.
chunk_11.txt	Während ihrer Gefangenschaft bringt Hermine eine Tochter zur Welt.
chunk_12.txt	 Eine andere Höflingin, Paulina, stellt Leontes zur Rede und argumentiert, dass er die Pflicht habe, das Baby als seine Tochter zu akzeptieren.
chunk_13.txt	Paulina verteidigt Hermines Ehre und besteht darauf, dass das Kind Leontes Tochter ist. Leontes bleibt hartnäckig und befiehlt, das Baby und Hermine wegzubringen, und droht sogar, sie zu verbrennen.
